,Learning rate,Algorithm,F1-Score
0,1e-06,gd,0.23941798941798945
1,1e-05,gd,0.323955385383719
2,0.0001,gd,0.4028600612870276
3,0.001,gd,0.6499015300712012
4,0.01,gd,0.6485245901639345
5,1e-06,sgd,0.36803148130797336
6,1e-05,sgd,0.4504752089774419
7,0.0001,sgd,0.4901277584204413
8,0.001,sgd,0.6482497634815516
9,0.01,sgd,0.6584709950057626
10,1e-06,adam,0.2645815722738799
11,1e-05,adam,0.4080034797738147
12,0.0001,adam,0.38158836155497255
13,0.001,adam,0.35819892473118276
14,0.01,adam,0.3382888349514563
