,Learning rate,Algorithm,Accuracy
0,1e-06,gd,0.2682926829268293
1,1e-05,gd,0.7560975609756098
2,0.0001,gd,0.4481707317073171
3,0.001,gd,0.8963414634146342
4,0.01,gd,0.9695121951219512
5,1e-06,sgd,0.6036585365853658
6,1e-05,sgd,0.2896341463414634
7,0.0001,sgd,0.3231707317073171
8,0.001,sgd,0.8719512195121951
9,0.01,sgd,0.9695121951219512
10,1e-06,adam,0.2621951219512195
11,1e-05,adam,0.36585365853658536
12,0.0001,adam,0.5609756097560976
13,0.001,adam,0.5945121951219512
14,0.01,adam,0.6920731707317073
