No. of features,Balanced accuracy,Final score
1.0,0.8321214730887436,0.8321214730887436
2.0,0.8251237709635155,0.8251237709635155
3.0,0.8747801101184038,0.8747801101184038
4.0,0.8819002567252632,0.8819002567252632
5.0,0.9056024472570395,0.9056024472570395
6.0,0.9242129880943148,0.9242129880943148
7.0,0.9267669759070074,0.9267669759070074
8.0,0.9262659739029995,0.9262659739029995
9.0,0.9282781448844737,0.9282781448844737
10.0,0.9287546579921554,0.9287546579921554
11.0,0.9318422996706244,0.9318422996706244
12.0,0.938905305519389,0.938905305519389
13.0,0.9338381447212143,0.9338381447212143
14.0,0.9434551383826717,0.9434551383826717
15.0,0.9419031545779951,0.9419031545779951
16.0,0.9418868286471109,0.9418868286471109
17.0,0.9429051585860111,0.9429051585860111
18.0,0.9479478304878597,0.9479478304878597
19.0,0.9479478304878597,0.9479478304878597
20.0,0.9515038223085683,0.9515038223085683
21.0,0.9494753253962099,0.9494753253962099
22.0,0.9500008162965442,0.9500008162965442
23.0,0.9479641564187438,0.9479641564187438
24.0,0.952966013493382,0.952966013493382
25.0,0.9524976633511422,0.9524976633511422
26.0,0.9489661604267599,0.9489661604267599
27.0,0.9509620054773498,0.9509620054773498
28.0,0.9519884983816921,0.9519884983816921
29.0,0.9545424861943848,0.9545424861943848
30.0,0.9530149912860344,0.9530149912860344
31.0,0.9504854923696681,0.9504854923696681
32.0,0.9519966613471342,0.9519966613471342
33.0,0.9520129872780183,0.9520129872780183
34.0,0.9530231542514764,0.9530231542514764
35.0,0.9520293132089026,0.9520293132089026
36.0,0.9525384781783526,0.9525384781783526
37.0,0.9560618181372929,0.9560618181372929
38.0,0.9535323192209266,0.9535323192209266
39.0,0.9509946573391181,0.9509946573391181
40.0,0.9540333212249346,0.9540333212249346
41.0,0.9535241562554845,0.9535241562554845
42.0,0.94998449036566,0.94998449036566
43.0,0.9515201482394524,0.9515201482394524
44.0,0.9530394801823606,0.9530394801823606
45.0,0.9540251582594925,0.9540251582594925
46.0,0.9524976633511422,0.9524976633511422
47.0,0.9540169952940505,0.9540169952940505
48.0,0.9540251582594925,0.9540251582594925
49.0,0.9530068283205924,0.9530068283205924
50.0,0.9520211502434603,0.9520211502434603
